title,link,summary,date
They used to laugh when someone from Andhra wanted to play for India - Venugopal Rao revels in retirement,https://www.espncricinfo.com/story/they-laughed-when-someone-from-andhra-wanted-to-play-for-india-venugopal-rao-revels-in-retirement-1196206,"The 37-year old called time on a two-decade long career, which brought 7081 first-class runs at an average of 40.93, with 17 centuries and 30 half-centuries",31-Jul-2019
Mohammad Nabi's 12-ball 43* maintains Kent's perfect start,https://www.espncricinfo.com/series/vitality-blast-2019-1167126/surrey-vs-kent-south-group-1167164/match-report,"Allrounder's five mammoth sixes steal show in seven-over game, as Surrey slump to third defeat in five",30-Jul-2019
England need to hit the ground running at Edgbaston - Ben Stokes,https://www.espncricinfo.com/story/england-need-to-hit-the-ground-running-at-edgbaston-ben-stokes-1196195,"Vice-captain opens up on post-World Cup 'come down', and stresses importance of putting Smith, Warner and Bancroft under pressure",30-Jul-2019
Explainer: How the BCCI worked out Prithvi Shaw's suspension,https://www.espncricinfo.com/story/explainer-how-the-bcci-worked-out-prithvi-shaw-s-suspension-1196192,Everything you need to know about the India Test opener's doping violation,30-Jul-2019
Joe Denly prepares for 'biggest challenge' in new role as England No. 4,https://www.espncricinfo.com/story/joe-denly-prepares-for-biggest-challenge-in-new-role-as-england-no-4-1196183,Batsman says he will learn from the mistakes of his first international stint and avoid putting too much pressure on himself,30-Jul-2019
Widening gulf in women's game exposed by England's Ashes thrashing,https://www.espncricinfo.com/story/widening-gulf-in-women-s-game-exposed-by-england-s-ashes-thrashing-1196171,The drubbing at the hands of Australia suggests a £20m investment by the ECB cannot come soon enough,30-Jul-2019
Kapil Dev-led committee in conflict of interest?,https://www.espncricinfo.com/story/kapil-dev-led-committee-in-conflict-of-interest-1196173,The question has been posed both internally within the BCCI as well as through an external complainant,30-Jul-2019
Inept Bangladesh under pressure to avoid clean sweep,https://www.espncricinfo.com/series/bangladesh-in-sri-lanka-2019-1193502/sri-lanka-vs-bangladesh-3rd-odi-1193506/match-preview,"As for Sri Lanka, a win here will grow their confidence ahead of the Test series against New Zealand",30-Jul-2019
Prithvi Shaw suspended for doping violation,https://www.espncricinfo.com/story/prithvi-shaw-suspended-until-november-15-for-doping-violation-1196168,"Shaw had 'inadvertently ingested a prohibited substance, which can be commonly found in cough syrups,' a BCCI release said",30-Jul-2019
Mohammad Amir cleared for Essex stint after visa application approved,https://www.espncricinfo.com/story/mohammad-amir-cleared-for-essex-stint-after-visa-application-approved-1196165,Pakistan seamer had missed first four Vitality Blast games after a hold-up stalled the progress of his visa application,30-Jul-2019
